Izsaukuma laiks,"Pacienta vecums, gadi","Dzimums, 1 - sieviete, 2- vīrietis",Unnamed: 3,NMP pamata diagnoze: G45.9 -1; I64 - 2; I63.9 - 3  ,Nogādāšanas laiks PSKUS,"GKS skala, 1 - nav izvērtēts","FastTest skala: N Negatīvs - 1; P>60 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ≥ 60% - 2; P<15 Pozitīvs, lielo asinsvadu oklūzijas iespējamība <15% - 3; P>30 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ap 30% - 4; nav izvērtēts - 5",Uzņemšanas rezultāts,Pārvests uz,Karte,Personas kods,Iestāšanās diagnoze,Iestāšanās diagnozes nosaukums,Izrakstīšanas diagnoze,Izrakstīšanas diagnozes nosaukums,Iestāšanās laiks,Izrakstīšanas laiks,Izr_dat,Izr_mēn,Izr_gads,Izr_kustība,Izr_kustības nosaukums,Izr_nodaļa,Izr_nodaļas nosaukums,Izr_profils,Izr_profila nosaukums,Pacienta uzvārds
2024-02-06 02:40:00,80,1,,2,2024-02-06 03:21:00,1,4,Hospitalized,Another hospital,K202400160, 130944-35486 ,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",2024-02-06 03:44:00,12/02/2024 09:44,12,2,2024,1,Discharged home,101,Neurology ward,30,Internal medicine,Kalniņš
2025-09-09 06:00:00,59,2,,1,2025-09-09 08:48:00,3,1,Transferred,Another hospital,K202500161,091166-64331,G45.9,"Transient cerebral ischemic attack, unspecified",I63.9,"Cerebral infarction, unspecified",2025-09-09 09:29:00,2025-09-11 02:29:00,11,9,2025,4,Continues treatment,202,Stroke unit,30,Internal medicine,Siliņš
2024-06-29 20:17:00,82,2,,2,2024-06-29 22:40:00,7,1,Died in admission unit,icu,K202400162,280742-43804,I64,"Stroke, not specified as hemorrhage or infarction",K35.8,"Acute appendicitis, other and unspecified",2024-06-29 23:24:00,2024-06-30 11:24:00,30,6,2024,3,Died in hospital,303,ICU,20,Intensīvā terapija,Romanovs
2024-04-21 21:17:00,87,1,,3,2024-04-22 00:08:00,11,5,Hospitalized,Stroke unit,K202400163,170337-46885,I63.9,"Cerebral infarction, unspecified",J18.9,"Pneumonia, unspecified organism",22.04.2024 00:21,2024-05-06 22:21:00,6,5,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Bērziņš
2024-01-26 07:27:00,61,2,,3,26.01.2024 08:20,14,3,Hospitalized,neurology,K202400164,,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2024-01-26 08:51:00,2024-01-27 06:51:00,27,1,2024,4,Continues treatment,101,Neurology ward,10,Neurology,Jansons
26.10.2024 03:17,84,1,,2,2024-10-26 05:04:00,3,4,Hospitalized,Stroke unit,K202400165,170140-38442,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,2024-10-26 05:08:00,2024-11-06 05:08:00,6,11,2024,4,Continues treatment,202,Stroke unit,10,Neurology,Romanovs
2025-04-02 16:53:00,77,1,,3,02/04/2025 19:17,12,3,Hospitalized,,K202500166,080848-82602,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,2025-04-02 19:43:00,2025-04-09 04:43:00,9,4,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Kļaviņa
2024-09-02 17:18:00,82,1,,2,02.09.2024 20:08,4,4,Hospitalized,ICU,K202400167,160642-97382,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",2024-09-02 20:36:00,2024-09-15 13:36:00,15,9,2024,2,Transferred to another hospital,303,ICU,20,Intensīvā terapija,Lapiņš
2024-05-20 07:06:00,70,2,?,3,2024-05-20 08:15:00,12,3,Hospitalized,Home,K202400168,110828-59327,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2024-05-20 08:36:00,2024-06-01 07:36:00,1,6,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Lapiņš
2025-12-21 10:42:00,19,2,,3,2025-12-21 12:30:00,8,1,Transferred,Stroke unit,K202500169, 120757-56840 ,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,2025-12-21 12:51:00,2026-01-03 06:51:00,3,1,2026,2 ,Discharged home,303,ICU,20,Intensīvā terapija,Liepiņš
2025-07-22 10:00:00,62,1,,3,22.07.2025 10:43,8,3,Hospitalized,Neurology,K202500170,100463-44754,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",22.07.2025 10:59,2025-07-30 12:59:00,30,7,2025,3,Died in hospital,101,Neurology ward,10,Neurology,Pavlovs
18.10.2024 09:11,60,2,,3,2024-10-18 11:25:00,13,1,Hospitalized,Home,K202400171,260964-90533,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",18.10.2024 12:10,2024-10-31 03:10:00,31,10,2024,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Bērziņa
2024-12-09 21:20:00,61,1,,1,2024-12-09 21:45:00,1,2,Died in admission unit,,K202400172,090163-46408,G45.9,"Transient cerebral ischemic attack, unspecified",I63.9,"Cerebral infarction, unspecified",2024-12-09 22:03:00,09/12/2024 23:03,9,12,2024,3,Died in hospital,404,Admission ward,30,Internal medicine,Jansons
2025-01-01 17:19:00,70,1,,2,2025-01-01 18:08:00,8,3,Outpatient,Stroke unit,K202500173,280555-87264,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,2025-01-01 18:31:00,2025-01-11 02:31:00,11,1,2025,9,Discharged home,101,Neurology ward,10,Neurology,Siliņš
2024-12-15 01:16:00,76,2,,2,2024-12-15 03:06:00,11,1,Hospitalized,Another hospital,K202400174,150348-92752,I64,"Stroke, not specified as hemorrhage or infarction",R56.8,Other and unspecified convulsions,2024-12-15 03:16:00,2024-12-20 21:16:00,20,12,2024,1,Discharged home,404,Admission ward,10,Neurology,Vītola
20.04.2025 21:22,75,1,,3,2025-04-21 00:24:00,6,2,Hospitalized,Stroke unit,K202500175,251150-27051,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",2025-04-21 01:08:00,2025-04-27 21:08:00,27,4,2025,1,Discharged home,101,Neurology ward,10,Neurology,Kalniņa
2024-11-29 01:53:00,82,2,,2,29.11.2024 02:54,9,2,Hospitalized,Stroke unit,K202400176,270842-98291,I64,"Stroke, not specified as hemorrhage or infarction",I63.9,"Cerebral infarction, unspecified",2024-11-29 03:00:00,11.12.2024 13:00,11,12,2024,1,Discharged home,202 ,Stroke unit,30,Internal medicine,Balode
27/12/2024 15:20,72,2,,1,2024-12-27 17:38:00,14,5,Hospitalized,Stroke unit,K202400177,080652-71726,G45.9,"Transient cerebral ischemic attack, unspecified",E11.9,Type 2 diabetes mellitus without complications,2024-12-27 17:49:00,2025-01-06 01:49:00,6,1,2025,4,Continues treatment,101,Neurology ward,10,Neurology,Ozols
10.05.2024 13:25,90,2,,1,10.05.2024 14:12,1,1,Outpatient,icu,K202400178,110334-74392,G45.9,"Transient cerebral ischemic attack, unspecified",R56.8,Other and unspecified convulsions,2024-05-10 14:35:00,2024-05-16 22:35:00,16,5,2024,4,Continues treatment,101,Neurology ward,30,Internal medicine,Siliņš
2024-08-03 14:51:00,68,2,,2,2024-08-03 16:21:00,13,4,Hospitalized,ICU,K202400179, 250456-75288 ,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",03.08.2024 16:35,2024-08-08 12:35:00,8,8,2024,,Transferred to another hospital,404,Admission ward,10,Neurology,Kalniņš
07.07.2024 08:04,99,1,,3,2024-07-07 09:34:00,13,4,Hospitalized,Stroke unit,K202400180,060425-60921,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",2024-07-07 09:57:00,2024-07-13 03:57:00,13,7,2024,1,Discharged home,404,Admission ward,30,Internal medicine,Vītola
2025-09-07 08:42:00,80,1,,2,2025-09-07 10:49:00,1,2,Hospitalized,ICU,K202500181,260245-72601,I64,"Stroke, not specified as hemorrhage or infarction",I50.9,"Heart failure, unspecified",2025-09-07 10:57:00,2025-09-11 01:57:00,11,9,2025,4,Continues treatment,202,Stroke unit,10,Neurology,
05.11.2025 02:47,60,1,,,2025-11-05 03:16:00,9,4,Outpatient,ICU,K202500182,201265-43989,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,05.11.2025 03:24,2025-11-15 01:24:00,15,11,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Kalniņš
15/07/2024 18:34,47,1,,3,2024-07-15 19:40:00,6,4,Hospitalized,Neurology,K202400183,040107-31771,I63.9,"Cerebral infarction, unspecified",J18.9,"Pneumonia, unspecified organism",2024-07-15 19:44:00,2024-07-27 14:44:00,27,7,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Siliņš
2024-02-23 21:50:00,78,2,,3,2024-02-24 00:44:00,7,1,Hospitalized,Neurology,K202400184,121146-68762,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",24.02.2024 01:18,2024-03-01 02:18:00,1,3,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Andersone
2025-11-18 20:56:00,69,1,,3,2025-11-18 22:26:00,12,1,Hospitalized,Stroke unit,K202500185,120156-44184,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2025-11-18 22:34:00,2025-11-28 02:34:00,28,11,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Ozols
31.05.2024 16:01,81,2,,3,2024-05-31 16:47:00,13,3,Transferred,Stroke unit,K202400186,101243-67870,I63.9,"Cerebral infarction, unspecified",R56.8,Other and unspecified convulsions,2024-05-31 16:56:00,03.06.2024 05:56,3,6,2024,1,Discharged home,101,Neurology ward,10,Neurology,Petrovs
2024-12-23 11:08:00,78,2,,3,23.12.2024 12:01,9,2,Transferred,,K202400187,030246-54342,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,2024-12-23 12:31:00,31/12/2024 13:31,31,12,2024,4,Continues treatment,202,Stroke unit,10,Neurology,Miezītis
2024-08-01 21:11:00,71,2,,3,2024-08-01 23:48:00,13,4,transferred,Home,K202400188,130653-26515,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",02.08.2024 00:30,10.08.2024 23:30,10,8,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Pavlovs
2024-06-30 16:19:00,60,1,,3,2024-06-30 17:37:00,11,5,Hospitalized,stroke unit,K202400189,081264-23792,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2024-06-30 18:17:00,2024-07-08 13:17:00,8,7,2024,1,Discharged home,202,Stroke unit,10,Neurology,Miezītis
2025-10-02 21:54:00,52,2,,3,2025-10-02 23:58:00,4,1,Hospitalized,ICU,K202500190,120973-25566,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",03.10.2025 00:11,2025-10-14 14:11:00,14,10,2025,1,Discharged home,101,Neurology ward,30,Internal medicine,Petrovs
2024-06-27 03:40:00,66,1,,3,27/06/2024 05:44,11,5,Hospitalized,ICU,K202400191,050858-52626,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",27.06.2024 06:17,10.07.2024 12:17,10,7,2024,1,Discharged home,101,Neurology ward,30,Internal medicine,Ozoliņa
2024-03-18 00:05:00,55,1,,3,2024-03-18 02:31:00,3,5,Hospitalized,Home,K202400192,200941-51999,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-03-18 02:35:00,2024-03-23 15:35:00,23,3,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Kalniņš
2024-03-26 04:47:00,74,1,,2,26/03/2024 06:50,7,5,Hospitalized,ICU,K202400193,150650-82498,I64,"Stroke, not specified as hemorrhage or infarction",K35.8,"Acute appendicitis, other and unspecified",26.03.2024 07:13,2024-04-08 03:13:00,8,4,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Ozols
23.12.2024 01:00,55,2,,3,2024-12-23 03:40:00,1,4,Hospitalized,Another hospital,K202400194,131169-56061,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",23.12.2024 04:11,23/12/2024 12:11,23,12,2024,1,Discharged home,404,Admission ward,30,Internal medicine,Kļaviņa
2025-10-21 07:38:00,74,2,,2,2025-10-21 09:53:00,8,5,Transferred,Neurology,K202500195,161251-61483,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",21.10.2025 10:34,2025-10-21 20:34:00,21,10,2025,2 ,Continues treatment,202,Stroke unit,30,Internal medicine,
29.01.2024 19:25,77,2,,2,2024-01-29 22:20:00,8,4,Hospitalized,stroke unit,K202400196,131147-24541,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",2024-01-29 23:03:00,05/02/2024 06:03,5,2,2024,2,Transferred to another hospital,202,Stroke unit,99,Neurology,Kļaviņa
2025-01-03 08:13:00,60,2,,1,2025-01-03 10:20:00,12,4,Hospitalized,Another hospital,K202500197,240165-39431,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2025-01-03 11:04:00,09/01/2025 15:04,9,1,2025,1,Discharged home,202,Stroke unit,10 ,Internal medicine,Jansone
01/05/2025 20:43,73,1,,1,01.05.2025 22:02,13,4,transferred,Stroke unit,K202500198,030252-17954,G45.9,"Transient cerebral ischemic attack, unspecified",I63.9,"Cerebral infarction, unspecified",2025-05-01 22:26:00,2025-05-15 01:26:00,15,5,2025,2,Transferred to another hospital,303,ICU,20,Intensīvā terapija,Romanovs
2024-01-16 10:43:00,72,2,,3,2024-01-16 13:39:00,3,4,Hospitalized,Neurology,K202400199,190452-26512,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",16/01/2024 14:21,29.01.2024 10:21,29,1,2024,1,Discharged home,101,Neurology ward,10,Neurology,Kļaviņa
2024-01-12 18:28:00,57,1,,1,12.01.2024 20:55,1,2,Hospitalized,Another hospital,K202400200,191067-53995,G45.9,"Transient cerebral ischemic attack, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-01-12 21:33:00,2024-01-14 16:33:00,14,1,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,ivanovs
17.04.2024 09:05,76,1,,1,2024-04-17 11:15:00,11,5,Died in admission unit,Stroke unit,K202400201,061248-54540,G45.9,"Transient cerebral ischemic attack, unspecified",J18.9,"Pneumonia, unspecified organism",2024-04-17 11:30:00,2024-04-17 16:30:00,17,4,2024,3,Died in hospital,404,Admission ward,30,Internal medicine,Krūmiņš
2025-09-23 15:32:00,79,1,,1,23/09/2025 16:23,6,2,Hospitalized,Another hospital,K202500202,100946-29472,G45.9,"Transient cerebral ischemic attack, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2025-09-23 16:38:00,2025-09-29 05:38:00,29,9,2025,4,Continues treatment,303,ICU,20,Intensīvā terapija,Vītola
2025-12-04 20:27:00,86,2,,3,2025-12-04 23:13:00,12,5,Hospitalized,Home,K202500203,061039-59034,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",2025-12-04 23:41:00,14.12.2025 22:41,14,12,2025,4,Continues treatment,202,Stroke unit,30,Internal medicine,Lapiņš
31/12/2025 17:57,85,1,,3,31/12/2025 19:13,1,2,Hospitalized,ICU,K202500204,230440-89171,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",31.12.2025 19:22,06.01.2026 11:22, 7,1,2026,1,Discharged home,303,ICU,20,Intensīvā terapija,Krūmiņš
2025-11-21 22:49:00,54,2,,3,2025-11-22 01:05:00,13,2,Outpatient,ICU,K202500205,281071-26822,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2025-11-22 01:29:00,2025-11-26 20:29:00,26,11,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Jansons
23.07.2025 06:27,59,2,,3,23/07/2025 07:01,9,3,Died in admission unit,neurology,K202500206,060966-14202,I63.9,"Cerebral infarction, unspecified",R56.8,Other and unspecified convulsions,2025-07-23 07:38:00,2025-07-23 12:38:00,23,7,2025,3,Died in hospital,404,Admission ward,30,Internal medicine,Ozoliņa
2024-10-27 16:59:00,78,1,,2,2024-10-27 19:18:00,11,5,Hospitalized,ICU,K202400207,261046-42353,I64,"Stroke, not specified as hemorrhage or infarction",G93.4,"Encephalopathy, unspecified",27.10.2024 19:31,2024-11-03 00:31:00,3,11,2024,1,Discharged home,404,Admission ward,30,Internal medicine,Lapiņš
2024-09-24 03:50:00,78,1,?,2,2024-09-24 04:19:00,14,1,Hospitalized,Another hospital,K202400208,170246-52731,I64,"Stroke, not specified as hemorrhage or infarction",G51.0,Bell's palsy,2024-09-24 04:37:00,2024-09-29 03:37:00,29,9,2024,4,Continues treatment,202,Stroke unit,10,Neurology,Jansone
2024-12-18 20:46:00,78,2,,1,2024-12-18 22:15:00,5,1,Hospitalized,Neurology,K202400209,120846-33322,G45.9,"Transient cerebral ischemic attack, unspecified",E11.9,Type 2 diabetes mellitus without complications,2024-12-18 22:28:00,2024-12-27 14:28:00,27,12,2024,1,Discharged home,202,Stroke unit,10,Neurology,Jansons
24/01/2024 08:35,99,1,,2,2024-01-24 09:42:00,1,5,Transferred,ICU,K202400210,200425-37147,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,2024-01-24 10:27:00,28.01.2024 07:27,28,1,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Bērziņa
2024-05-28 06:38:00,79,1,x,2,2024-05-28 07:20:00,8,4,Transferred,Home,K202400211,110245-12313,I64,"Stroke, not specified as hemorrhage or infarction",I61.9,"Intracerebral hemorrhage, unspecified",2024-05-28 08:01:00,31.05.2024 12:01,31,5,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Avotiņš
2024-02-25 04:56:00,86,2,,3,2024-02-25 06:38:00,8,4,Hospitalized,Another hospital,K202400212,110638-41752,I63.9,"Cerebral infarction, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2024-02-25 06:49:00,2024-03-10 09:49:00,10,3,2024,4,Continues treatment,303,ICU,20,Intensīvā terapija,Liepiņa
2024-10-24 15:21:00,84,1,,2,2024-10-24 17:38:00,5,1,Hospitalized,Stroke unit,K202400213,120240-62198,I64,"Stroke, not specified as hemorrhage or infarction",N39.0,"Urinary tract infection, site not specified",2024-10-24 18:00:00,06/11/2024 09:00,6,11,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Avotiņš
2025-12-01 06:43:00,19,1,,3,2025-12-01 07:51:00,14,1,Outpatient,Neurology,K202500214,191145-19336,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-12-01 08:03:00,2025-12-10 12:03:00,10,12,2025,4,Continues treatment,404,Admission ward,10 ,Internal medicine,Balodis
2024-02-11 03:37:00,67,1,,2,2024-02-11 05:51:00,7,3,Hospitalized,Home,K202400215,060757-65950,I64,"Stroke, not specified as hemorrhage or infarction",G93.4,"Encephalopathy, unspecified",2024-02-11 06:03:00,25.02.2024 07:03,25,2,2024,4,Continues treatment,202,Stroke unit,10,Neurology,Kļaviņš
2025-12-17 02:58:00,81,2,,3,2025-12-17 06:03:00,12,1,Hospitalized,Stroke unit,K202500216,061208-35150,I63.9,"Cerebral infarction, unspecified",K35.8,"Acute appendicitis, other and unspecified",2025-12-17 06:24:00,2025-12-21 11:24:00,21,12,2025,2,Transferred to another hospital,101,Neurology ward,99,Neurology,Ozols
01/03/2024 23:05,61,1,x,02,2024-03-02 01:36:00,14,3,hospitalized,Stroke unit,K202400217,200763-17502,I64,"Stroke, not specified as hemorrhage or infarction",I21.9,"Acute myocardial infarction, unspecified",2024-03-02 01:56:00,09.03.2024 16:56,9,3,2024,3,Died in hospital,303,ICU,20,Intensīvā terapija,Lapiņš
2025-04-14 05:07:00,77,1,,3,14.04.2025 06:48,7,3,Outpatient,Stroke unit,K202500218,100724-89583,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,2025-04-14 07:19:00,24.04.2025 18:19,24,4,2025,3,Died in hospital,303,ICU,20,Intensīvā terapija,Liepiņa
10/05/2024 05:52,65,1,,1,2024-05-10 07:33:00,13,1,Hospitalized,Home,K202400219,280659-39334,G45.9,"Transient cerebral ischemic attack, unspecified",I21.9,"Acute myocardial infarction, unspecified",10.05.2024 08:00,13.05.2024 07:00,13,5,2024,4,Continues treatment,404,Admission ward,30,Internal medicine,Kalniņa
2024-06-18 02:12:00,73,1,,3,18/06/2024 04:07,12,2,Hospitalized,Stroke unit,K202400220,081051-23970,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",2024-06-18 04:46:00,27.06.2024 12:46,27,6,2024,1,Discharged home,202,Stroke unit,10,Neurology,Andersone
27/11/2025 13:11,99,1,,3,2025-11-27 15:05:00,15,2,Hospitalized,ICU,K202500221,100726-96409,I63.9,"Cerebral infarction, unspecified",A41.9,"Sepsis, unspecified organism",2025-11-27 15:11:00,2025-12-02 18:11:00,2,12,2025,4,Continues treatment,101,Neurology ward,10,Neurology,Liepiņa
2025-03-18 20:09:00,47,1,,3,2025-03-18 22:20:00,8,1,Outpatient,ICU,K202500222,130378-65982,I63.9,"Cerebral infarction, unspecified",G40.9,"Epilepsy, unspecified",2025-03-18 22:53:00,19.03.2025 10:53,19,3,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Petrova
2024-05-10 12:08:00,80,2,,2,2024-05-10 15:13:00,9,1,Hospitalized,ICU,K202400223,260244-87709,I64,"Stroke, not specified as hemorrhage or infarction",G45.9,"Transient cerebral ischemic attack, unspecified",10.05.2024 15:44,2024-05-21 19:44:00,21,5,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Liepiņa
2024-06-29 17:14:00,51,1,,3,29/06/2024 18:02,1,5,Hospitalized,Stroke unit,K202400224,030173-26346,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2024-06-29 18:16:00,2024-06-30 22:16:00,30,6,2024,1,Discharged home,101,Neurology ward,10,Neurology,Krūmiņš
06/03/2024 03:37,65,1,,1,2024-03-06 04:50:00,11,1,Hospitalized,Neurology,K202400225,220559-65750,G45.9,"Transient cerebral ischemic attack, unspecified",I63.9,"Cerebral infarction, unspecified",2024-03-06 05:01:00,2024-03-08 03:01:00,8,3,2024,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Kalniņš
09.06.2024 04:26,86,2,,1,2024-06-09 07:27:00,9,2,Transferred,Stroke unit,K202400226,060238-79006,G45.9,"Transient cerebral ischemic attack, unspecified",A41.9,"Sepsis, unspecified organism",2024-06-09 07:35:00,09/06/2024 20:35,9,6,2024,1,Discharged home,404,Admission ward,10,Neurology,Liepiņš
2025-11-25 11:31:00,72,2,,1,25/11/2025 14:00,12,1,Hospitalized,Another hospital,K202500227,151253-33999,G45.9,"Transient cerebral ischemic attack, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2025-11-25 14:12:00,2025-12-09 13:12:00,9,12,2025,3,Died in hospital,202,Stroke unit,10,Neurology,Siliņš
03.05.2024 04:27,57,2,,3,03/05/2024 04:47,12,5,Hospitalized,ICU,K202400228,011267-65702,I63.9,"Cerebral infarction, unspecified",I50.9,"Heart failure, unspecified",03/05/2024 05:17,2024-05-17 23:17:00,17,5,2024,4,Continues treatment,202,Stroke unit,30,Internal medicine,Kļaviņš
07/09/2025 15:12,62,1,,2,07/09/2025 15:58,14,1,hospitalized,Stroke unit,K202500229,070763-49953,I64,"Stroke, not specified as hemorrhage or infarction",G45.9,"Transient cerebral ischemic attack, unspecified",2025-09-07 16:22:00,2025-09-14 09:22:00,14,9,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Romanovs
2024-08-11 20:34:00,80,2,,1,2024-08-11 21:56:00,10,2,Transferred,Neurology,K202400230,141244-10761,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2024-08-11 22:13:00,2024-08-17 23:13:00,17,8,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Eglītis
05.08.2025 08:40,62,2,,1,2025-08-05 09:25:00,4,2,Hospitalized,Stroke unit,K202500231,160563-20828,G45.9,"Transient cerebral ischemic attack, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2025-08-05 09:29:00,13.08.2025 00:29,13,8,2025,1,Discharged home,202,Stroke unit,10,Neurology,Balodis
2024-11-30 01:33:00,74,2,,1,2024-11-30 02:40:00,9,3,hospitalized,icu,K202400232,170150-65977,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2024-11-30 02:52:00,06/12/2024 22:52,6,12,2024,4,Continues treatment,404,Admission ward,10,Neurology,
2024-07-08 18:35:00,72,2,,3,2024-07-08 21:23:00,11,1,Hospitalized,Stroke unit,K202400233,271152-34960,I63.9,"Cerebral infarction, unspecified",N39.0,"Urinary tract infection, site not specified",2024-07-08 21:59:00,2024-07-11 11:59:00,11,7,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Romanovs
2024-06-20 00:26:00,63,1,,3,2024-06-20 02:58:00,13,1,Died in admission unit,Stroke unit,K202400234,240461-62100,I63.9,"Cerebral infarction, unspecified",G93.4,"Encephalopathy, unspecified",2024-06-20 03:33:00,2024-06-20 13:33:00,20, 02,2024,3,Died in hospital,404,Admission ward,30,Internal medicine,Kalniņa
2025-01-26 01:16:00,99,1,,2,2025-01-26 03:50:00,8,4,Transferred,Stroke unit,K202500235,121126-92927,I64,"Stroke, not specified as hemorrhage or infarction",S72.0,Fracture of neck of femur,26.01.2025 04:08,27.01.2025 14:08,27,1,2025,2,Transferred to another hospital,101,Neurology ward,10,Neurology,Bērziņš
2024-06-04 00:26:00,80,2,,3,2024-06-04 01:49:00,12,3,Hospitalized,Stroke unit,K202400236,240444-66872,I63.9,"Cerebral infarction, unspecified",A41.9,"Sepsis, unspecified organism",2024-06-04 02:32:00,2024-06-16 19:32:00,16,6,2024,2,Transferred to another hospital,303,ICU,20,Intensīvā terapija,Grīnbergs
09/08/2025 04:32,45,1,,3,09.08.2025 04:53,3,2,Hospitalized,Home,K202500237,011080-11231,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,2025-08-09 05:34:00,2025-08-10 11:34:00,10,8,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Bērziņa
2025-08-27 19:15:00,74,1,,1,2025-08-27 21:22:00,4,4,Transferred,Stroke unit,K202500238,030651-90700,G45.9,"Transient cerebral ischemic attack, unspecified",G51.0,Bell's palsy,27/08/2025 21:49,2025-08-30 14:49:00,30,8,2025,2,Transferred to another hospital,404,Admission ward,10,Neurology,Balodis
2024-04-21 05:18:00,63,1,,3,2024-04-21 06:13:00,4,2,Died in admission unit,Home,K202400239,110261-26716,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",2024-04-21 06:36:00,2024-04-21 08:36:00,21,4,2024,3,Died in hospital,303,ICU,20,Intensīvā terapija,Jansons
15/11/2024 10:16,83,1,,2,2024-11-15 11:26:00,9,3,Hospitalized,Another hospital,K202400240, 050841-82286 ,I64,"Stroke, not specified as hemorrhage or infarction",G93.4,"Encephalopathy, unspecified",2024-11-15 11:30:00,23.11.2024 11:30,23,11,2024,4,Continues treatment,202 ,ICU,20,Intensīvā terapija,Balodis
